Transaction_ID,Customer_ID,Purchase_Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Status,Acquisition_Channel,Customer_Segment,City,State,Gender,Age_Group
T000001,C0001,2025-11-13,Electronics,Monitor,3,2398,7194,Success,Organic Search,New,Mumbai,Maharashtra,Male,45-54
T000002,C0002,2025-08-16,Books,Novel,1,999,999,Success,Google Ads,New,Kolkata,West Bengal,Male,25-34
T000003,C0002,2025-09-30,Accessories,Wallet,3,2999,8997,Success,Google Ads,New,Kolkata,West Bengal,Male,25-34
T000004,C0003,2025-07-04,Beauty,Perfume,3,299,897,Success,Instagram,New,Chennai,Tamil Nadu,Male,25-34
T000005,C0004,2025-09-13,Electronics,Headphones,1,7498,7498,Success,Facebook Ads,VIP,Delhi,Delhi,Male,45-54
T000006,C0004,2025-09-12,Electronics,Monitor,1,2998,2998,Failed,Facebook Ads,VIP,Delhi,Delhi,Male,45-54
T000007,C0004,2025-09-14,Accessories,Bag,1,2248,2248,Success,Facebook Ads,VIP,Delhi,Delhi,Male,45-54
T000008,C0004,2025-09-22,Books,Notebook,2,4498,8996,Success,Facebook Ads,VIP,Delhi,Delhi,Male,45-54
T000009,C0005,2025-07-09,Beauty,Lipstick,1,598,598,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000010,C0005,2025-07-22,Fashion,Jeans,3,5998,17994,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000011,C0005,2025-07-20,Footwear,Boots,1,238,238,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000012,C0005,2025-08-05,Fashion,Jacket,1,3598,3598,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000013,C0005,2025-08-26,Footwear,Sneakers,1,2398,2398,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000014,C0005,2025-09-05,Home & Kitchen,Pan,2,2398,4796,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000015,C0005,2025-09-10,Books,Notebook,1,3598,3598,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000016,C0005,2025-09-17,Fashion,T-Shirt,2,3598,7196,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000017,C0005,2025-10-04,Accessories,Bag,2,4317,8634,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000018,C0005,2025-10-03,Footwear,Sneakers,1,717,717,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000019,C0005,2025-10-21,Toys,Blocks,1,429,429,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000020,C0005,2025-11-28,Fashion,Dress,1,2157,2157,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000021,C0005,2025-11-19,Fashion,T-Shirt,1,7197,7197,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000022,C0005,2025-11-19,Home & Kitchen,Bottle,2,7197,14394,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000023,C0005,2025-12-20,Books,Novel,3,285,855,Failed,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000024,C0005,2025-12-17,Toys,Puzzle,2,2157,4314,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000025,C0005,2025-12-15,Toys,Blocks,3,2877,8631,Success,Amazon,Premium,Bengaluru,Karnataka,Female,35-44
T000026,C0006,2025-04-22,Home & Kitchen,Mixer,3,199,597,Success,Amazon,Returning,Kolkata,West Bengal,Male,35-44
T000027,C0006,2025-05-03,Home & Kitchen,Pan,2,199,398,Success,Amazon,Returning,Kolkata,West Bengal,Male,35-44
T000028,C0006,2025-06-03,Toys,Puzzle,2,199,398,Success,Amazon,Returning,Kolkata,West Bengal,Male,35-44
T000029,C0006,2025-06-07,Books,Notebook,1,999,999,Success,Amazon,Returning,Kolkata,West Bengal,Male,35-44
T000030,C0006,2025-06-26,Toys,Puzzle,2,299,598,Success,Amazon,Returning,Kolkata,West Bengal,Male,35-44
T000031,C0007,2025-10-06,Beauty,Face Wash,1,3598,3598,Success,Email,Returning,Chennai,Tamil Nadu,Male,45-54
T000032,C0007,2025-09-22,Home & Kitchen,Pan,1,4999,4999,Success,Email,Returning,Chennai,Tamil Nadu,Male,45-54
T000033,C0007,2025-10-31,Footwear,Boots,3,5998,17994,Success,Email,Returning,Chennai,Tamil Nadu,Male,45-54
T000034,C0007,2025-10-28,Home & Kitchen,Pan,3,358,1074,Success,Email,Returning,Chennai,Tamil Nadu,Male,45-54
T000035,C0007,2025-11-27,Accessories,Bag,1,1798,1798,Success,Email,Returning,Chennai,Tamil Nadu,Male,45-54
T000036,C0008,2025-04-23,Sports,Football,2,2999,5998,Success,Google Ads,New,Pune,Maharashtra,Female,45-54
T000037,C0008,2025-05-14,Beauty,Lipstick,3,299,897,Success,Google Ads,New,Pune,Maharashtra,Female,45-54
T000038,C0008,2025-06-29,Footwear,Boots,3,1999,5997,Success,Google Ads,New,Pune,Maharashtra,Female,45-54
T000039,C0009,2025-11-17,Accessories,Wallet,2,5998,11996,Success,Organic Search,New,Delhi,Delhi,Male,35-44
T000040,C0010,2025-03-05,Grocery,Coffee,2,299,598,Success,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000041,C0010,2025-04-10,Fashion,Jacket,1,2999,2999,Success,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000042,C0010,2025-04-23,Electronics,Headphones,2,999,1998,Success,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000043,C0010,2025-05-23,Toys,Blocks,1,4999,4999,Refunded,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000044,C0010,2025-05-14,Toys,Puzzle,1,1499,1499,Success,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000045,C0010,2025-06-13,Electronics,Monitor,3,2999,8997,Success,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000046,C0010,2025-06-10,Fashion,T-Shirt,1,799,799,Success,Organic Search,Returning,Kolkata,West Bengal,Female,25-34
T000047,C0011,2025-04-23,Footwear,Boots,2,999,1998,Success,Instagram,New,Chennai,Tamil Nadu,Male,18-24
T000048,C0012,2025-07-24,Beauty,Face Wash,3,3598,10794,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
T000049,C0012,2025-07-20,Electronics,Headphones,2,358,716,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
T000050,C0012,2025-07-09,Home & Kitchen,Bottle,3,238,714,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
T000051,C0012,2025-08-18,Accessories,Wallet,3,3598,10794,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
T000052,C0012,2025-08-21,Footwear,Sneakers,2,358,716,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
T000053,C0012,2025-09-07,Beauty,Face Wash,1,1198,1198,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
